"PrimaryKey","EcolSite","US_L3CODE","US_L3NAME","Elevation","PRISM","ElevationM"
"NML00000_2019_Sandy_4982019-09-01","R042XB012NM","24","Chihuahuan Deserts",1263,250.440002441406,1262
"NM_LasCrucesTriCounty_2017_SA_414_V12020-09-01","R042XB012NM","24","Chihuahuan Deserts",1264,252.580001831055,1257
"17102310271841322017-09-01","R042XB015NM","24","Chihuahuan Deserts",1265.8344,249.029998779297,1260
"NML00000_Panel20_MIMB_2992019-09-01","R042XB027NM","24","Chihuahuan Deserts",1497,288.450012207031,1472
"NML00000_2019_Mal_3992019-09-01","R042XB037NM","24","Chihuahuan Deserts",1377,269.730010986328,1353
"NML00000_Panel2_MIMB_0292019-09-01","R042XB018NM","24","Chihuahuan Deserts",1337,288.220001220703,1366
"NML00000_2020_Sandy_5112019-09-01","R042XB011NM","24","Chihuahuan Deserts",1233,255.720001220703,1235
"NML00000_2019_Gravel_0642019-09-01","R042XB010NM","24","Chihuahuan Deserts",1313,256.450012207031,1350
"16102712080361972016-09-01","R042XB010NM","24","Chihuahuan Deserts",1287.47131348,259.790008544922,1281
"18010508303074152017-09-01","R042XB014NM","24","Chihuahuan Deserts",1487.424,290.209991455078,1484
"NM_LasCrucesMimbres2019_MIMB_079_V12020-09-01","R042XB027NM","24","Chihuahuan Deserts",1485,325,1484
"16102710331232972016-09-01","R042XB027NM","24","Chihuahuan Deserts",1486.65881348,286.739990234375,1490
"16083116262962852016-09-01","R042XB024NM","24","Chihuahuan Deserts",1272.01379395,248.289993286133,1256
"NML00000_Panel2_MIMB_0252019-09-01","R042XB027NM","24","Chihuahuan Deserts",1417,305.5,1444
"18101508193783972018-09-01","R042XB036NM","24","Chihuahuan Deserts",1214.9328,255.839996337891,1220
"NML00000_Panel3_MIMB_0452019-09-01","R042XB010NM","24","Chihuahuan Deserts",1244,256.799987792969,1271
"NML00000_2020_Sandy_5182019-09-01","R042XB012NM","24","Chihuahuan Deserts",1333,265.739990234375,1346
"NML00000_Panel20_MIMB_2922019-09-01","R042XB027NM","24","Chihuahuan Deserts",1464,311.950012207031,1473
"NML00000_Panel19_MIMB_2842019-09-01","R042XB014NM","24","Chihuahuan Deserts",1459,325.75,1506
"18101615195840682018-09-01","R042XB037NM","24","Chihuahuan Deserts",1455.1152,283.369995117188,1446
"16082509252268562016-09-01","R042XB012NM","24","Chihuahuan Deserts",1267.26306152,248.550003051758,1267
"16111616411999302016-09-01","R042XB012NM","24","Chihuahuan Deserts",0,249.350006103516,1250
"NML00000_Panel1_MIMB_0152019-09-01","R042XB027NM","24","Chihuahuan Deserts",1461,320.420013427734,1454
"16110816162981262016-09-01","R042XB012NM","24","Chihuahuan Deserts",1268.47705078,248.369995117188,1267
"18010514141989402017-09-01","R042XB012NM","24","Chihuahuan Deserts",1324.6608,258.489990234375,1346
"NM_LasCrucesMimbres2019_MIMB_061_V12020-09-01","R042XB014NM","24","Chihuahuan Deserts",1296,269.700012207031,1298
"NML00000_2020_Bottom_0142019-09-01","R042XB012NM","24","Chihuahuan Deserts",1303,255.600006103516,1322
"18091112520330472018-09-01","R042XB012NM","24","Chihuahuan Deserts",1274.9784,247.919998168945,1265
"17120113560428622017-09-01","R042XB012NM","24","Chihuahuan Deserts",1286.5608,261.5,1283
"16103116133681472016-09-01","R042XB037NM","24","Chihuahuan Deserts",1555.05041504,298.619995117188,1526
"17121912332668922017-09-01","R042XB012NM","24","Chihuahuan Deserts",1326.4896,257.309997558594,1346
"16112312420512502016-09-01","R042XB018NM","24","Chihuahuan Deserts",1285.25915527,249.970001220703,1272
"18091708593442232018-09-01","R042XB012NM","24","Chihuahuan Deserts",1264.6152,248.440002441406,1264
"NML00000_2020_Sandy_5102019-09-01","R042XB012NM","24","Chihuahuan Deserts",1269,247.899993896484,1267
"NML00000_2019_Mal_3952019-09-01","R042XB014NM","24","Chihuahuan Deserts",1498,297.429992675781,1481
"NML00000_Panel1_MIMB_0092019-09-01","R042XB027NM","24","Chihuahuan Deserts",1422,300.670013427734,1439
"NML00000_2020_Shallow_5712019-09-01","R042XB015NM","24","Chihuahuan Deserts",1346,261.690002441406,1344
"NML00000_2019_Shallow_5672019-09-01","R042XB015NM","24","Chihuahuan Deserts",1387,273.760009765625,1398
"18010510564676862017-09-01","R042XB015NM","24","Chihuahuan Deserts",1515.4656,294.850006103516,1519
"NML00000_2019_NR_willow_ex_out_22019-09-01","R042XB035NM","24","Chihuahuan Deserts",1555,338.649993896484,1547
"NML00000_2019_NR_willow_ex_in_22019-09-01","R042XB035NM","24","Chihuahuan Deserts",1546,338.649993896484,1547
"NML00000_2019_NR_willow_ex_out_12019-09-01","R042XB035NM","24","Chihuahuan Deserts",1540,338.649993896484,1547
"NML00000_2019_NR_willow_ex_in_12019-09-01",NA,"24","Chihuahuan Deserts",1539,338.649993896484,1547
"18100711374120922018-09-01","R042XB010NM","24","Chihuahuan Deserts",1383.4872,268.829986572266,1381
"NML00000_2020_Mal_4012019-09-01",NA,"24","Chihuahuan Deserts",1326,255.050003051758,1321
"18010514592237542017-09-01","R042XB015NM","24","Chihuahuan Deserts",1327.0992,267.890014648438,1340
"17121914572277772017-09-01","R042XB027NM","24","Chihuahuan Deserts",1453.2864,282.109985351562,1444
"16101914152397652016-09-01","R042XB012NM","24","Chihuahuan Deserts",1278.79785156,248.720001220703,1277
"NML00000_2020_Mal_4022019-09-01","R042XB037NM","24","Chihuahuan Deserts",1391,272.730010986328,1383
"NML00000_2020_Shallow_5722019-09-01","R042XB015NM","24","Chihuahuan Deserts",1278,261.809997558594,1270
